,user,user_rt,weight,idd
483,fquirozbunster,juanenriquepi,5,1339595597658030083
484,pepabejarano56,FRAVM,92,1339599145707827200
485,ambar333,sanchezcastejon,1313,1339587082193260546
486,mariacastrogo,salvadorilla,363,1339623840998170624
487,isauralealf,gpscongreso,25,1339660336916553733
488,conchajua,anaalonsogonza1,48,1339685644533194752
489,GallleguitoEl,nomecayona,43,1339600892262195203
490,silviaoberlin_,salvadorilla,363,1339623840998170624
491,nessrz,dieguez_miguel,21,1339667899104030730
492,Masara48810945,anaalonsogonza1,48,1339685644533194752
493,mjvallemart,salvadorilla,363,1339623840998170624
494,psoegc,sanchezcastejon,1313,1339587082193260546
495,Cgmarta_,Congreso_Es,290,1339584205341114369
496,SEBASTI46585263,PSOE,415,1339584712772218886
497,AmparoDelacru13,cuquemar,406,1339511128536346625
498,OSIRIS_MARIO,bioeticaunam,9,1339683548165517314
499,BezaresFernando,tito_morano,188,1339601736797810697
500,nunezam65,sanchezcastejon,1313,1339587082193260546
501,lonspe3,tabarniaBCN,34,1339677203567656964
502,macedonio9219,JOSEMANUELSOTO1,802,1339490975681536000
503,GbamatxiAma,RuizdePinedo,44,1339578569182203905
504,wisievek,Camila_RojasV,892,1339622767516397574
505,Crisspeo,vladomirosevic,109,1339588550048710664
506,BegFol1,SalazarRoPaco,26,1339611805929398274
507,DiegoVeliz_,ncastilo,51,1339649537544245250
508,Lastk,Ander_Gil,31,1339587645039550471
509,_blnx,salvadorilla,363,1339623840998170624
510,profesionales,articulo_30,116,1339626998826741761
511,chino_naipa,Camila_RojasV,892,1339622767516397574
512,nines_702,JOSEMANUELSOTO1,802,1339490975681536000
513,AnaLlames,pardodevera,636,1337017325120327680
514,pilarrolu,sanchezcastejon,1313,1339587082193260546
515,calcazar30,JOSEMANUELSOTO1,802,1339490975681536000
516,OlmosRaul,FRAVM,92,1339599145707827200
517,dsocupadolector,qrispal,5,1339613854393839622
518,marca_dos1,juanwohl,5,1339685196535349249
519,alconperegrino2,abalosmeco,216,1339604490815680512
520,JorRamGon,diostuitero,541,1339586935594000392
521,redhook4,sanchezcastejon,1313,1339587082193260546
522,pablovidalrojas,vladomirosevic,97,1339635893175537668
523,vic_iglesias,dieguez_miguel,21,1339667899104030730
524,pilarrolu,abalosmeco,216,1339604490815680512
525,OlmosRaul,asaltoalscielos,8,1339672968511811584
526,Piluchi2000,PabloHertfelder,11,1339616307067695104
